trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",30,0,-106.90438925127185,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",30,0,-87.61394342330712,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,0,-59.51305879454479,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,3,-54.87247296838545,"{0: 10, 1: 4, 2: 1, 3: 2, 4: 0}",1
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",30,0,-182.7347936568091,"{0: 19, 1: 1, 2: 6, 3: 1, 4: 3}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",30,13,-27.4555527589618,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 0}",1
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",35,0,-197.7891638221263,"{0: 22, 1: 5, 2: 4, 3: 0, 4: 4}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",30,0,-62.167056942699475,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,0,-51.13477610331473,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-128.0056938603957,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,5,-64.21275152298931,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 1}",1
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-26.279896359464693,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,0,-45.991091090919205,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",25,0,-148.16898521565602,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",30,12,-26.160197796061716,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",25,0,-43.742805707899144,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",30,0,-247.0018808352555,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 5}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",25,10,-29.3652033149692,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",30,18,-76.13508204192541,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",30,7,-72.59472103240871,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 2}",1
72,False,"{'a': 0.01, 'e': 0.751805729140895}",20,0,-26.623388727088795,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",30,0,-82.97669274969343,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 2}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",25,13,-73.10195851798919,"{0: 8, 1: 1, 2: 0, 3: 2, 4: 1}",1
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,0,-9.716504223229167,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",25,0,-118.91216667512847,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",20,0,-10.797493778463544,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,0,-65.08955737184591,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",20,0,-59.54113421578754,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",35,8,-106.86508440240904,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 2}",1
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",20,0,-104.82002379767431,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",25,0,-45.23409468096035,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",20,2,-103.57710611987838,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 2}",1
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",25,0,-97.58269533265141,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,6,-24.737387239330033,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",30,6,-31.699607320725352,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,0,-131.0744008609051,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,0,-68.51117793167244,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,0,-53.26741029845232,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",25,0,-40.42852040475377,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",25,0,7.475229362096865,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",30,16,-18.744545505601796,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,0,-20.3224594455752,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",25,1,-59.4726502293259,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 1}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",35,9,21.51450661744692,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",20,6,-34.75529019187521,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,0,-54.851733290456195,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",30,0,-125.61436150184623,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",20,0,-105.94741322182117,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",25,12,-18.676801756134566,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",20,13,-7.690905573602246,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",25,0,-0.6643986484657178,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",30,19,-26.34213355606004,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",20,5,12.748689881449597,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.497571047891727}",20,3,-36.40312381721921,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",20,0,-109.2375260160739,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",30,20,19.365931955250595,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,0,-8.537439641958105,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",30,0,-37.321409927066725,"{0: 22, 1: 3, 2: 5, 3: 0, 4: 0}",0
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,3,-66.41740090604054,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 2}",1
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",20,15,1.8140279588138473,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",30,19,5.470751311310661,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,0,-1.5498317397185022,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,0,-34.71424915254793,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",30,14,3.910609262397553,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",25,0,-40.45718604679118,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,10,-3.0518173484340454,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",20,11,5.022083487077685,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,0,-42.4474286076282,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,11,3.6888890121645606,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",25,7,-31.356101816490842,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",35,0,-27.431714926028377,"{0: 30, 1: 1, 2: 3, 3: 0, 4: 1}",0
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",25,0,-35.086054484712164,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,4,22.68449492796573,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,2,-33.446133411807544,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
